int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Skegness,13,10,1993,1994,2004,2000,6193678,5267387,252,245,203,184,7,537
Cove (Aberdeen),37,33,2003,2003,2008,2008,540017095,859472222,517,587,658,645,85,6380
Lybster,23,15,2009,2010,2008,2008,20173371,17619906,399,395,313,367,16,1204
Fowey,116,86,2003,2003,2004,2005,472007616,688994579,1246,1234,1280,1281,151,11411
Nigg,64,37,2009,2007,2012,2012,550265593,655301914,492,671,1013,1084,140,10615
Barrow Haven,21,19,1999,1999,1999,1999,20862842,29770471,442,529,532,533,8,592
Burnham On Crouch,7,7,2001,2001,2004,2005,9321132,13281653,295,528,552,537,3,188
Dagenham,656,121,1997,2004,1998,2002,1591865059,1233671592,146,366,186,236,536,40288
Ceinewydd (New Quay),1,1,1997,1997,1997,1997,66188,26487,195,195,195,195,0,14
Annalong,7,6,2001,2003,2009,2010,12945321,17182074,173,414,318,295,3,241
Saint Martins,9,8,1999,2000,2006,2007,399069705,733158055,196,705,1657,3649,26,1993
St.Ives,10,10,1997,1997,2004,1998,55047253,47377743,456,693,629,943,8,629
Kinlochbervie,3,3,2001,2001,2013,2013,193511913,346220719,826,1932,4576,4630,22,1669
Camber,44,28,2001,2002,2002,2003,19222412,26130154,188,397,327,317,14,1041
Fishnish,12,8,1991,1995,2010,2004,21034771,11763103,246,4292,1538,693,51,3859
Hessle/Hull,41,27,1997,1996,1997,1997,41373668,57941233,539,612,604,615,17,1309
Saint Sampson,46,27,1999,2001,2005,2005,52981783,72262509,314,492,379,386,52,3880
Teignmouth,146,114,1999,1999,2000,1999,546946002,663726760,801,983,1049,1150,154,11722
Ridham Dock,196,85,2000,2003,2001,2001,262682142,382963034,377,553,488,487,86,6444
Brodick,3,3,1999,1999,2004,2004,3831719,4463101,200,351,112,81,2,190
Workington,25,22,2002,2001,2004,2004,41908469,62984863,643,603,631,625,18,1371
Penzance,10,10,2002,2002,2005,2006,12565646,17972644,323,576,466,521,5,412
Thorpeness,18,14,2006,2004,2005,2005,102194138,170785635,220,555,500,605,48,3597
Cromarty,9,8,1996,1997,2008,2006,31573180,34548472,545,585,502,520,8,577
Clydebank,32,24,2007,2006,2010,2010,174255323,248565487,730,789,792,792,55,3943
Kyle Of Lochalsh,13,12,2004,2003,2006,2008,11684610,14334922,544,635,635,629,19,1402
Newhaven/Edinburgh,35,34,2000,2001,2003,2004,269868237,149205127,484,1018,787,1037,82,6197
Burghead,10,9,2008,2008,2006,2009,105783573,56244309,632,837,683,720,31,2299
Grovehurst Jetty/Sittingbourne,42,22,2007,2006,2008,2008,32085616,46473480,182,309,294,291,9,691
