int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Brindisi,459,194,1997,2003,2008,2010,15056547925,21200057642,625,2074,1800,3233,2145,165164
Alghero,8,8,1990,1990,1998,1999,34569274,26235300,434,698,451,1025,10,802
Messina,112,71,2000,2001,2005,2005,2387102487,390829406,374,1028,468,473,597,45942
Venezia,1396,563,2004,2004,2006,2008,34360807255,29168539229,662,1342,762,1129,6955,537353
Torre Faro,35,26,2001,2000,2002,2002,1076192972,480353109,777,746,1313,919,263,20389
Pianosa,9,9,2002,2002,2009,2008,313379041,304826166,763,723,723,703,25,1918
Marina Di Ragusa,42,40,2004,2005,2005,2005,936050220,1379481029,980,1310,1663,1765,134,10313
Meta,4,4,1994,1994,2009,2009,28320441,29973391,1627,2265,909,946,8,604
Bova Marina,38,34,2002,2001,2007,2007,592813396,521818072,765,800,841,744,81,6213
Portopalo,201,162,1999,2001,2005,2006,3587047946,5696506073,782,1161,1309,1318,558,42887
Mazara Del Vallo,26,22,1998,1998,2005,2005,85577960,108327387,604,1083,747,826,34,2489
Sestri Ponente,301,251,2006,2007,2009,2009,14035042363,24249577165,946,1299,1598,1643,2064,159341
Porto Empedocle,67,61,2001,2001,2005,2006,404153716,583411335,680,700,701,785,109,8302
Torre Annunziata,101,82,1997,1997,2004,2004,692463155,998863947,774,1801,1167,1118,214,16312
Monfalcone,288,167,2001,2002,2004,2004,5756912297,6378327020,1169,1397,1145,1426,833,64049
Arbatax,15,13,2003,2001,2002,2002,147385954,176837194,456,1372,1557,1812,37,2810
Marina Di Carrara,126,112,2001,2003,2009,2009,2347785548,3431488576,857,1324,1703,1837,378,29046
Ciro Marina,17,17,2006,2006,2008,2009,1519017231,2697307165,1659,1992,3469,3660,109,8431
Lipari,10,10,1998,1998,1993,1992,5454956,2165697,63,481,322,228,15,1128
Aci Trezza,51,37,2001,1999,2004,2005,235715902,308656452,326,574,452,587,43,3274
Portici,28,21,2007,2008,2009,2009,394820232,511365400,763,846,1036,1058,99,7596
Villa San Giovanni,15,15,1997,1997,2007,2007,236831955,248771709,651,895,959,1084,35,2680
Reggio,22,22,1990,1990,1998,1997,112542019,99809704,583,770,603,664,30,2303
Voltri,268,98,2010,2009,2012,2012,15975600401,16861228236,428,741,660,645,1371,106180
Castiglioncello,13,13,2007,2007,2008,2007,1313901605,865112609,957,1667,1734,1337,85,6553
Portigliola,1,1,1975,1975,1975,1975,2356495,3491786,1227,1227,1227,1227,1,60
Licata,59,48,2003,2002,2006,2006,821611212,1425741681,646,1221,933,933,147,11222
Favignana,12,11,1991,1989,1996,2002,20838969,11865253,318,5854,802,439,54,4051
Termini Imerese,80,58,1996,1996,1994,1997,591130245,294684814,603,803,1194,821,146,11253
Senigallia,2,2,1998,1998,1989,1990,9041165,9469426,176,176,198,196,1,84
Trapani,59,47,1996,1998,1992,1999,356346424,161262787,465,894,506,651,126,9579
Piacenza,1,1,1987,1987,1987,1987,32149005,32391480,795,795,795,795,2,142
Palermo,295,74,2001,1997,2006,2003,5447130332,1069615377,529,732,465,478,1088,83875
Porto Levante,70,20,2006,2007,2006,2007,29092800920,25442577750,4592,4410,4242,4252,4095,244997
Otranto,38,33,1999,1999,2011,2011,895982649,1517300492,623,1273,2370,2970,127,9736
Marsala,12,11,1993,1996,2006,2006,34722423,50137599,491,761,731,750,15,1134
Zaule,71,50,1997,2000,2004,2003,900846239,1254378450,1077,1140,1246,1196,246,18953
Vasto,39,34,2002,2003,2007,2008,266230310,414205928,907,1226,1083,1103,74,5667
"Mondello, Palermo",7,7,2001,2001,1999,1999,446532087,487544945,435,1110,2372,2248,46,3525
Portovesme,55,47,2003,2002,2007,2007,530921255,839393750,1084,1336,1389,1370,105,8069
Caorle,24,21,2006,2006,2011,2010,1452929978,2673780077,973,1023,1276,1304,142,10943
Filicudi,5,5,1990,1990,1993,1992,56983207,65170985,788,734,792,805,6,456
Porto Di Barletta,46,43,2001,2001,2004,2004,223088162,314201849,998,1114,1286,1287,60,4593
Olbia,78,44,1998,1994,2004,2001,1247204342,404196062,439,670,505,834,316,24375
Falconara,23,18,2004,2005,2007,2007,525311931,885533344,1168,1326,1453,1486,108,8323
Bagnoli,7,7,1993,1993,2002,2004,229810455,249856570,1043,2934,1605,1727,39,2999
Ortona,98,76,1995,1996,1997,1998,944964218,819815384,997,1214,1159,1155,178,13649
Porto Di Malamocco,59,52,2000,2002,2007,2009,1873491610,2490267430,853,1460,1592,2333,318,24494
Marghera,225,188,2005,2005,2008,2008,4478375108,6940310644,1262,1500,1572,1572,874,67304
Porto Ponte Romano,45,45,1998,1998,2001,2001,229894046,314788394,1023,1056,878,939,67,5100
