int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oka Sur Le Lac,30,25,2004,2004,2008,2008,1085377542,1663527016,3063,2599,2808,2799,192,14596
Stephenville,4,3,1978,1986,2013,2013,62605639,109526729,756,876,1571,1682,7,517
Owen Sound,5,3,1974,1978,1974,1977,172385648,25851572,250,8176,6186,895,79,5900
"Bayside, Charlotte",1,1,1992,1992,1992,1992,24105499,24052575,3113,3113,3113,3113,14,1058
Pointe-Claire,9,8,1999,2004,2007,2007,190857423,287607385,1195,1620,1647,1625,40,3100
Mooretown,9,9,1985,1985,1992,1990,42239598,73115062,167,268,326,307,6,434
Little Bras D Or,3,3,2010,2010,2010,2010,189140662,307227211,2633,2364,2392,2400,20,1529
Ucluelet,12,9,1991,1991,2001,2003,79207624,63137574,411,1293,470,353,40,3058
Sidney,33,21,1980,1986,2006,2014,377647712,523388008,217,2678,1525,1447,99,7487
Souris Harbour,1,1,1981,1981,1981,1981,792530,83016,79,79,79,79,0,25
Port-Daniel - Gascons,26,11,2006,2002,2010,2010,912571041,1524524197,1131,2384,1894,1959,119,8983
Liverpool (Brooklyn),3,3,1980,1980,1985,1984,3792513,1152364,621,755,1137,602,5,396
Goose Bay,1,1,2013,2013,2013,2013,55484814,80567198,3776,3776,3776,3776,12,927
Coppermine,2,2,1988,1988,1983,1983,61321074,80955328,5978,5978,9951,10123,20,1523
Arichat,14,14,2007,2007,2012,2012,10560442412,20595533810,10985,8235,9651,9829,539,41701
Pangnirtung,1,1,1988,1988,1988,1988,5021505,1800745,792,792,792,792,1,101
Pond Inlet,15,11,2000,2001,2008,2013,590834930,728880782,1579,2221,2381,2985,144,10975
Glace Bay,4,4,2008,2008,2007,2007,1301249356,2436157349,3070,4953,7263,8062,105,8095
Louisburg,1,1,2010,2010,2010,2010,14547154,22685601,734,734,734,734,2,119
Hopedale,1,1,1977,1977,1977,1977,388735,170326,1160,1160,1160,1160,3,190
Tahsis,3,3,1984,1984,2016,2016,33138935,55150994,252,628,1408,1481,2,191
Lower Lakes Terminal,3,2,1983,1989,2007,2008,7097904,10742387,69,200,293,332,1,94
Dalhousie,33,25,1989,1992,2004,2004,377830892,583697982,223,784,752,761,51,3852
Chebogue Point,3,3,2005,2005,2004,2004,61833552,81976959,379,616,585,729,8,636
Port Hardy,17,15,1985,1988,1986,1988,12997198,6960213,322,1556,240,90,23,1735
